font_id,license_type,license_name,license_url,commercial_use,modification,distribution,sell_font,attribution_required,notes
vazirmatn,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
sahel,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
estedad,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
parastoo,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
amiri,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
markazi_text,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
noto_naskh_arabic,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
noto_sans_arabic,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
noto_kufi_arabic,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
lalezar,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
baloo_bhaijaan_2,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
gulzar,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
samim,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified. Archived 2022."
shabnam,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified. Archived 2022."
tanha,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified. Archived 2022."
gandom,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified. Archived 2022."
iranian_sans,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified."
vazir,OFL,SIL Open Font License 1.1,https://scripts.sil.org/OFL,true,true,true,false,true,"Include OFL.txt. Don't sell font alone. Rename if modified. Legacy - archived."
iransans,Commercial,Fontiran Commercial License,https://fontiran.com/license,false,false,false,false,false,"Must purchase license from fontiran.com. npm wrapper provides CSS only, not font files. Variants: IRANSansX, IRANSansFN, IRANSansDN."
tahrir,Commercial,NoonFont Commercial License,https://noonfont.com/fonts/tahrir,false,false,false,false,false,"Must purchase license from noonfont.com. 6 weights v4.3."
nazanin,Personal,Personal Use Only,https://www.myfonts.com/collections/nazanin-lt-font-linotype,false,false,false,false,false,"Traditionally free for personal use. Verify commercial licensing with Linotype/MyFonts."
lotus,Personal,Personal Use Only,https://arabicfonts.net/fonts/b-lotus-regular,false,false,false,false,false,"Traditionally free for personal use. Verify commercial licensing."
titr,Personal,Personal Use Only,https://fontlibrary.org/en/font/titr,false,false,false,false,false,"Traditionally free for personal use. Verify commercial licensing."
yekan,Personal,Personal Use Only,https://www.cdnfonts.com/iranian-sans.font,false,false,false,false,false,"Traditionally free for personal use. Verify commercial licensing."
irannastaliq,Free,Free Distribution (Iran Supreme Council of ICT),https://github.com/farsi-fonts/fonts-irannastaliq,true,true,true,false,false,"Originally sponsored by Iran's Supreme Council of ICT. Freely distributed. Verify current terms on GitHub."
